Single,Multi
125603000,29556000
2712000,1071000
107502000,43320000
43658000,20615000
50548000,33929000
46991000,18985000
44854000,21382000
42639000,20728000
45675000,22369000
44429000,27514000
57126000,22894000
44373000,19917000
41408000,19379000
43887000,18727000
49243000,21748000
43295000,19575000
44584000,21332000
43472000,20348000
43354000,28438000
42498000,20425000
41662000,19554000
47607000,23245000
40673000,21535000
59983000,22505000
42882000,19440000
42794000,19156000
41254000,20232000
41276000,21680000
41583000,21040000
63084000,20634000
45887000,20645000
46444000,23146000
48172000,21281000
43769000,20661000
42843000,21164000
44167000,18906000
44992000,26232000
53565000,24459000
44676000,20531000
44757000,18567000
44502000,21384000
41605000,25072000
44703000,20071000
45085000,18560000
45607000,21063000
45473000,18972000
53043000,21191000
42194000,20537000
41046000,19916000
40649000,19171000
47374000,20377000
46851000,22606000
47544000,23083000
53458000,25952000
41638000,19894000
40260000,20946000
44484000,18160000
48697000,17424000
43345000,20888000
45458000,16485000
46309000,19333000
44609000,19734000
43609000,24356000
57607000,27979000
52830000,24417000
53933000,23130000
58256000,25804000
53632000,24425000
45423000,24181000
48377000,17283000
49514000,24642000
51290000,21186000
42432000,20002000
41305000,18374000
43023000,20236000
41084000,17539000
49287000,22289000
39815000,17763000
44743000,19112000
47491000,21228000
42543000,20535000
45116000,19327000
55394000,26195000
47695000,24129000
65809000,27397000
43278000,20670000
45912000,22085000
45442000,19242000
43879000,20970000
48171000,22335000
47740000,22178000
44306000,25757000
45966000,20284000
43182000,18553000
43802000,19915000
44388000,19390000
54688000,23338000
43700000,20466000
41668000,17762000
44010000,21244000
43747000,19854000
47398000,21001000
45411000,19146000
51203000,21018000
47563000,23150000
50798000,21109000
46518000,21586000
52034000,26271000
54065000,21261000
46143000,20927000
43112000,21193000
46915000,20450000
43353000,19415000
46239000,20724000
40944000,17205000
41333000,18999000
40680000,21246000
61082000,27770000
51454000,20386000
43239000,18770000
58246000,24850000
47236000,20673000
42706000,19953000
43489000,19584000
44985000,17297000
43302000,19717000
40220000,21124000
43261000,20910000
41744000,19481000
42528000,18324000
46436000,19942000
49344000,23240000
42530000,19010000
45514000,21083000
43242000,18990000
44751000,20720000
44533000,22342000
44317000,18932000
43535000,23452000
46723000,19338000
40412000,19552000
41979000,19012000
41588000,22577000
41621000,19936000
41316000,19562000
40778000,22251000
42397000,19886000
46030000,19323000
46943000,18565000
42381000,20452000
47189000,20348000
44820000,19551000
47799000,18224000
44817000,18112000
52687000,22060000
46449000,20225000
41704000,19553000
41431000,20120000
41841000,21122000
43027000,21121000
40803000,20413000
44554000,16413000
42795000,19730000
45531000,17374000
47814000,20020000
46788000,20822000
44779000,20454000
44499000,19459000
50312000,22807000
49043000,20946000
43369000,20339000
45104000,19511000
49851000,21540000
44413000,17497000
42722000,22723000
45621000,20361000
44443000,19651000
43225000,24100000
49998000,19727000
57475000,27494000
45287000,19141000
45305000,20933000
45471000,18985000
48923000,21460000
29752000,10205000
13977000,6655000
29243000,10668000
51882000,22539000
94515000,45544000
256085000,142445000
92597000,43231000
